gene,sample,norm_count,cell_line,time
FOSL2,SH_control_batch1,4253.708008643636,SK_N_SH,DMSO
FOSL2,SH_24h_batch1,2399.701083733921,SK_N_SH,h24
FOSL2,SH_24h_rep1_1,3016.7984790909095,SK_N_SH,h24
FOSL2,SH_24h_rep2_1,3085.4924811291708,SK_N_SH,h24
FOSL2,SH_48h_batch1,2186.0892598927567,SK_N_SH,h48
FOSL2,SH_48h_rep1_1,2900.5242522053413,SK_N_SH,h48
FOSL2,SH_48h_rep2_1,2932.350154342268,SK_N_SH,h48
JUN,CM_DMSO_ctrl_rep1_1,3896.851527882754,CLBMa,DMSO
JUN,CM_DMSO_ctrl_rep2_1,3501.6964555854047,CLBMa,DMSO
JUN,CM_DMSO_ctrl_rep3,4907.02927066075,CLBMa,DMSO
JUN,CM_control_batch1,3161.26373761159,CLBMa,DMSO
JUN,CM_24h_batch1,2635.388624888464,CLBMa,h24
JUN,CM_24h_rep1_1,2588.080768316927,CLBMa,h24
JUN,CM_24h_rep2_1,2656.6719873173947,CLBMa,h24
JUN,CM_24h_rep3,3532.5468212235846,CLBMa,h24
JUN,CM_48h_batch1,2456.090840686314,CLBMa,h48
JUN,CM_48h_rep1_1,2463.917428008671,CLBMa,h48
JUN,CM_48h_rep3,3518.9815772154448,CLBMa,h48
JUN,SH_DMSO_ctrl_rep1_1,2977.35619342355,SK_N_SH,DMSO
JUN,SH_DMSO_ctrl_rep2_1,3085.833577861996,SK_N_SH,DMSO
JUN,SH_control_batch1,4341.824506860196,SK_N_SH,DMSO
JUN,SH_24h_batch1,2696.282688901748,SK_N_SH,h24
JUN,SH_24h_rep1_1,2696.835004035813,SK_N_SH,h24
JUN,SH_24h_rep2_1,2686.0314009829835,SK_N_SH,h24
JUN,SH_48h_batch1,2588.842188055643,SK_N_SH,h48
JUN,SH_48h_rep1_1,3237.3050071783855,SK_N_SH,h48
JUN,SH_48h_rep2_1,3076.7860777988394,SK_N_SH,h48
MAML2,CM_DMSO_ctrl_rep1_1,2560.1036881951045,CLBMa,DMSO
MAML2,CM_DMSO_ctrl_rep2_1,2132.7612973112236,CLBMa,DMSO
MAML2,CM_DMSO_ctrl_rep3,2691.152604138176,CLBMa,DMSO
MAML2,CM_control_batch1,2565.493005745562,CLBMa,DMSO
MAML2,CM_24h_batch1,2142.577070993443,CLBMa,h24
MAML2,CM_24h_rep1_1,2320.304720057684,CLBMa,h24
MAML2,CM_24h_rep2_1,1695.844166999884,CLBMa,h24
MAML2,CM_24h_rep3,2433.0484269444414,CLBMa,h24
MAML2,CM_48h_batch1,1979.1092556967997,CLBMa,h48
MAML2,CM_48h_rep1_1,1992.874390301131,CLBMa,h48
MAML2,CM_48h_rep3,1994.7305406729442,CLBMa,h48
MAML2,SH_DMSO_ctrl_rep1_1,2453.0039893185926,SK_N_SH,DMSO
MAML2,SH_DMSO_ctrl_rep2_1,2124.9067176565923,SK_N_SH,DMSO
MAML2,SH_control_batch1,2434.797977036534,SK_N_SH,DMSO
MAML2,SH_24h_batch1,2300.9987255340684,SK_N_SH,h24
MAML2,SH_24h_rep1_1,1967.5214323229266,SK_N_SH,h24
MAML2,SH_24h_rep2_1,1873.3347206855678,SK_N_SH,h24
MAML2,SH_48h_batch1,2076.8344581716287,SK_N_SH,h48
MAML2,SH_48h_rep1_1,1208.2009584657953,SK_N_SH,h48
MAML2,SH_48h_rep2_1,1391.7003041388393,SK_N_SH,h48
NOTCH1,CM_DMSO_ctrl_rep1_1,926.3007730213104,CLBMa,DMSO
NOTCH1,CM_DMSO_ctrl_rep2_1,881.6240013885349,CLBMa,DMSO
NOTCH1,CM_DMSO_ctrl_rep3,1218.5763384111483,CLBMa,DMSO
NOTCH1,CM_control_batch1,732.195076126945,CLBMa,DMSO
NOTCH1,CM_24h_batch1,662.73034181871,CLBMa,h24
NOTCH1,CM_24h_rep1_1,799.5388610759467,CLBMa,h24
NOTCH1,CM_24h_rep2_1,860.3417145498746,CLBMa,h24
NOTCH1,CM_24h_rep3,1043.7070153615136,CLBMa,h24
NOTCH1,CM_48h_batch1,756.1082939493012,CLBMa,h48
NOTCH1,CM_48h_rep1_1,848.1458684648584,CLBMa,h48
NOTCH1,CM_48h_rep3,917.8837192299667,CLBMa,h48
NOTCH1,SH_DMSO_ctrl_rep1_1,1702.6379041339126,SK_N_SH,DMSO
NOTCH1,SH_DMSO_ctrl_rep2_1,1468.5593533198655,SK_N_SH,DMSO
NOTCH1,SH_control_batch1,1895.4322537425362,SK_N_SH,DMSO
