group,replicate,fastq_1,fastq_2,control
CLB-Ma-M_H3K27ac,2,./fastqs/MZ-SS-CR-475-CLB-Ma-M-H3K27ac-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-475-CLB-Ma-M-H3K27ac-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
SK-N-SH-M_IgG,2,./fastqs/MZ-SS-CR-510-SK-N-SH-M-IgG-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-510-SK-N-SH-M-IgG-rep2_R2_001.fastq.gz,
SK-N-SH-A_IgG,2,./fastqs/MZ-SS-CR-517-SK-N-SH-A-IgG-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-517-SK-N-SH-A-IgG-rep2_R2_001.fastq.gz,
SK-N-SH-A_H3K27ac,2,./fastqs/MZ-SS-CR-490-SK-N-SH-A-H3K27ac-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-490-SK-N-SH-A-H3K27ac-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
CLB-Ma-M_Jun,2,./fastqs/MZ-SS-CR-499-CLB-Ma-M-Jun-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-499-CLB-Ma-M-Jun-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
CLB-Ma-A_Jun,2,./fastqs/MZ-SS-CR-506-CLB-Ma-A-Jun-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-506-CLB-Ma-A-Jun-rep2_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-M_H3K27ac,2,./fastqs/MZ-SS-CR-485-SK-N-SH-M-H3K27ac-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-485-SK-N-SH-M-H3K27ac-rep2_R2_001.fastq.gz,SK-N-SH-M_IgG
CLB-Ma-M_TAZ,2,./fastqs/MZ-SS-CR-498-CLB-Ma-M-TAZ-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-498-CLB-Ma-M-TAZ-rep2_R2_001.fastq.gz,CLB-Ma-M_IgG
CLB-Ma-A_YAP,2,./fastqs/MZ-SS-CR-504-CLB-Ma-A-YAP-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-504-CLB-Ma-A-YAP-rep2_R2_001.fastq.gz,CLB-Ma-A_IgG
SK-N-SH-A_Jun,2,./fastqs/MZ-SS-CR-520-SK-N-SH-A-Jun-rep2_R1_001.fastq.gz,./fastqs/MZ-SS-CR-520-SK-N-SH-A-Jun-rep2_R2_001.fastq.gz,SK-N-SH-A_IgG
