Plate,Metadata_Well,Drug,Concentration,Metadata_row,Metadata_column,NumberOfCells,NumberOfCells_ADR,NumberOfCells_MES
2214051,A01,IPI-549,1.0,1,1,1559.0,1326.0,233.0
2214051,A02,Perifosine,10.0,1,2,369.0,301.0,68.0
2214051,A03,Alvespimycin (17-DMAG),1.0,1,3,306.0,269.0,37.0
2214051,A04,Apratastat (TMI-005),1.0,1,4,1464.0,1150.0,314.0
2214051,A05,TAK-243 (MLN7243),10.0,1,5,7.0,5.0,2.0
2214051,A06,GSK481,10.0,1,6,1482.0,1193.0,289.0
2214051,A07,Sitravatinib,0.01,1,7,1564.0,1231.0,333.0
2214051,A08,GM6001 (Ilomastat ),0.1,1,8,1581.0,1344.0,237.0
2214051,A09,MIM1,1.0,1,9,1739.0,1351.0,388.0
2214051,A10,6-Aminonicotinamide,0.1,1,10,1557.0,1322.0,235.0
2214051,A11,TAK-243 (MLN7243),0.01,1,11,1572.0,1243.0,329.0
2214051,A12,GSK1070916,0.1,1,12,770.0,648.0,122.0
2214051,A13,DMSO,0.0,1,13,1515.0,1260.0,255.0
2214051,A14,Pladienolide B,1.0,1,14,125.0,103.0,22.0
2214051,A15,Valemetostat,0.1,1,15,1726.0,1403.0,323.0
2214051,A16,Salubrinal,0.01,1,16,1746.0,1440.0,306.0
2214051,A17,CEP-37440,0.1,1,17,1611.0,1266.0,345.0
2214051,A18,IPI-549,0.01,1,18,1561.0,1309.0,252.0
2214051,A19,CPI-455,10.0,1,19,1660.0,1311.0,349.0
2214051,A20,GI254023X,0.1,1,20,1546.0,1284.0,262.0
2214051,A21,Fluvastatin,1.0,1,21,1485.0,1231.0,254.0
2214051,A22,Spautin 1,10.0,1,22,1664.0,1443.0,221.0
2214051,A23,CPI-455,0.01,1,23,1748.0,1483.0,265.0
2214051,A24,Salubrinal,10.0,1,24,844.0,774.0,70.0
2214051,B01,CEP-37440,0.1,2,1,1686.0,1439.0,247.0
2214051,B02,Ezatiostat,1.0,2,2,1551.0,1230.0,321.0
2214051,B03,MAK-683,0.1,2,3,1451.0,1143.0,308.0
2214051,B04,Brequinar,0.01,2,4,1628.0,1299.0,329.0
2214051,B05,BMS493,10.0,2,5,1282.0,962.0,320.0
2214051,B06,ML-210,0.01,2,6,1667.0,1316.0,351.0
2214051,B07,MAK-683,1.0,2,7,1788.0,1296.0,492.0
2214051,B08,"10,12-Tricosadiynoic acid",10.0,2,8,1613.0,1297.0,316.0
2214051,B09,MAK-683,10.0,2,9,1594.0,1278.0,316.0
2214051,B10,6-Aminonicotinamide,10.0,2,10,1639.0,1352.0,287.0
2214051,B11,GSK481,0.1,2,11,1505.0,1212.0,293.0
2214051,B12,GSK1070916,10.0,2,12,236.0,233.0,3.0
2214051,B13,Salinomycin (sodium salt),0.01,2,13,1373.0,1144.0,229.0
2214051,B15,BMS 345541 (trifluoroacetate salt),0.1,2,15,1739.0,1398.0,341.0
2214051,B16,SGI-7079,10.0,2,16,18.0,12.0,6.0
2214051,B17,Brequinar,10.0,2,17,1547.0,1265.0,282.0
2214051,B18,IPI-549,10.0,2,18,1149.0,1005.0,144.0
2214051,B19,GSK481,1.0,2,19,1580.0,1314.0,266.0
2214051,B20,XAV939,0.1,2,20,1689.0,1358.0,331.0
2214051,B21,R428,10.0,2,21,12.0,7.0,5.0
2214051,B22,Alvespimycin (17-DMAG),0.1,2,22,1038.0,803.0,235.0
2214051,B23,IPI-549,0.01,2,23,1587.0,1301.0,286.0
2214051,B24,C188-9,0.01,2,24,1497.0,1236.0,261.0
2214051,C01,Salinomycin (sodium salt),10.0,3,1,84.0,71.0,13.0
2214051,C02,Valemetostat,0.01,3,2,1610.0,1183.0,427.0
2214051,C03,GSK481,0.01,3,3,1462.0,1100.0,362.0
2214051,C04,RD162,0.1,3,4,1788.0,1384.0,404.0
2214051,C05,ML-210,10.0,3,5,499.0,430.0,69.0
2214051,C06,Brusatol,0.1,3,6,585.0,490.0,95.0
2214051,C07,Apratastat (TMI-005),0.1,3,7,1706.0,1345.0,361.0
2214051,C08,Forskolin,10.0,3,8,1784.0,1443.0,341.0
2214051,C09,GI254023X,10.0,3,9,1509.0,1236.0,273.0
2214051,C10,HX531,0.1,3,10,1756.0,1475.0,281.0
2214051,C11,DMSO,0.0,3,11,1548.0,1247.0,301.0
2214051,C12,Salubrinal,0.1,3,12,1975.0,1580.0,395.0
2214051,C13,BMS493,10.0,3,13,1356.0,1035.0,321.0
2214051,C14,(-)-DHMEQ,10.0,3,14,1621.0,1348.0,273.0
2214051,C15,DMSO,0.0,3,15,1711.0,1435.0,276.0
2214051,C16,CPI-455,1.0,3,16,1733.0,1369.0,364.0
2214051,C17,Fluvastatin,1.0,3,17,1522.0,1244.0,278.0
2214051,C18,Crenigacestat,0.01,3,18,2047.0,1627.0,420.0
2214051,C19,Sitravatinib,0.1,3,19,1421.0,1039.0,382.0
2214051,C20,MIM1,10.0,3,20,1194.0,1023.0,171.0
2214051,C21,HX531,1.0,3,21,1362.0,1089.0,273.0
2214051,C22,R428,0.01,3,22,1808.0,1527.0,281.0
2214051,C23,10058-F4,10.0,3,23,1684.0,1397.0,287.0
2214051,C24,R428,0.01,3,24,1648.0,1389.0,259.0
2214051,D01,ML-210,1.0,4,1,821.0,717.0,104.0
2214051,D02,Salubrinal,1.0,4,2,1619.0,1283.0,336.0
2214051,D03,Perifosine,0.1,4,3,1563.0,1202.0,361.0
2214051,D04,CPI-455,0.1,4,4,1705.0,1386.0,319.0
2214051,D05,XAV939,1.0,4,5,1520.0,1199.0,321.0
2214051,D06,LY2109761,0.005,4,6,1851.0,1446.0,405.0
2214051,D07,XAV939,10.0,4,7,1602.0,1345.0,257.0
2214051,D08,HX531,10.0,4,8,1268.0,934.0,334.0
2214051,D09,CEP-37440,1.0,4,9,1103.0,949.0,154.0
2214051,D10,XAV939,0.1,4,10,1807.0,1488.0,319.0
2214051,D11,BIBR 1532,0.01,4,11,1744.0,1427.0,317.0
2214051,D12,DMSO,0.0,4,12,1694.0,1313.0,381.0
2214051,D13,Forskolin,1.0,4,13,1696.0,1370.0,326.0
2214051,D15,Apratastat (TMI-005),10.0,4,15,1686.0,1335.0,351.0
2214051,D16,DMSO,0.0,4,16,1856.0,1480.0,376.0
2214051,D17,Valemetostat,10.0,4,17,1703.0,1397.0,306.0
2214051,D18,Sitravatinib,0.1,4,18,1416.0,1063.0,353.0
2214051,D19,C188-9,10.0,4,19,1072.0,863.0,209.0
2214051,D20,SGI-7079,10.0,4,20,10.0,7.0,3.0
2214051,D21,IPI-549,0.1,4,21,1716.0,1413.0,303.0
2214051,D22,Pladienolide B,0.1,4,22,120.0,96.0,24.0
2214051,D23,HX531,0.1,4,23,1552.0,1238.0,314.0
2214051,D24,RD162,0.01,4,24,1436.0,1212.0,224.0
2214051,E01,Forskolin,1.0,5,1,1637.0,1311.0,326.0
2214051,E02,DMSO,0.0,5,2,1422.0,1054.0,368.0
2214051,E03,Crenigacestat,0.01,5,3,1514.0,1148.0,366.0
2214051,E04,BMS 345541 (trifluoroacetate salt),1.0,5,4,1785.0,1402.0,383.0
2214051,E05,LGK974,0.1,5,5,1786.0,1402.0,384.0
2214051,E06,MIM1,0.01,5,6,1880.0,1517.0,363.0
2214051,E07,MAK-683,0.01,5,7,1589.0,1277.0,312.0
2214051,E08,GI254023X,0.1,5,8,1850.0,1467.0,383.0
2214051,E09,DMSO,0.0,5,9,1667.0,1311.0,356.0
2214051,E10,Forskolin,10.0,5,10,1812.0,1456.0,356.0
2214051,E11,Alvespimycin (17-DMAG),10.0,5,11,46.0,20.0,26.0
2214051,E12,GM6001 (Ilomastat ),0.01,5,12,1746.0,1406.0,340.0
2214051,E16,XAV939,0.01,5,16,1912.0,1545.0,367.0
2214051,E17,DMSO,0.0,5,17,1712.0,1395.0,317.0
2214051,E18,VLX600,0.01,5,18,1820.0,1363.0,457.0
2214051,E19,GSK481,0.1,5,19,1898.0,1500.0,398.0
2214051,E20,SGI-7079,1.0,5,20,294.0,190.0,104.0
2214051,E21,ML-210,0.1,5,21,1723.0,1359.0,364.0
2214051,E22,LOXO-292,10.0,5,22,1614.0,1284.0,330.0
2214051,E23,HX531,0.01,5,23,1736.0,1352.0,384.0
2214051,E24,GI254023X,0.01,5,24,1522.0,1255.0,267.0
2214051,F01,DMSO,0.0,6,1,1546.0,1211.0,335.0
2214051,F02,HX531,10.0,6,2,1235.0,880.0,355.0
2214051,F03,Valemetostat,1.0,6,3,1783.0,1435.0,348.0
2214051,F04,Sitravatinib,1.0,6,4,1027.0,836.0,191.0
2214051,F05,"10,12-Tricosadiynoic acid",10.0,6,5,1742.0,1354.0,388.0
2214051,F06,IPI-549,0.1,6,6,1835.0,1456.0,379.0
2214051,F07,XAV939,1.0,6,7,1714.0,1372.0,342.0
2214051,F08,VLX600,0.1,6,8,1736.0,1381.0,355.0
2214051,F09,(-)-DHMEQ,0.01,6,9,1768.0,1394.0,374.0
2214051,F10,DMSO,0.0,6,10,1844.0,1516.0,328.0
2214051,F11,IPI-549,10.0,6,11,1254.0,1155.0,99.0
2214051,F12,Perifosine,1.0,6,12,1411.0,1145.0,266.0
