gs_id	gene_id
K975_24h_48h_up	56099
K975_24h_48h_up	100287896
K975_24h_48h_up	100129129
K975_24h_48h_up	1519
K975_24h_48h_up	283948
K975_24h_48h_up	145195
K975_24h_48h_up	123706547
K975_24h_48h_up	401720
K975_24h_48h_up	80022
K975_24h_48h_up	103689912
K975_24h_48h_up	101927855
K975_24h_48h_up	401612
K975_24h_48h_up	105374971
K975_24h_48h_up	124904434
K975_24h_48h_up	107985216
K975_24h_48h_up	100129550
K975_24h_48h_up	8353
K975_24h_48h_up	338382
K975_24h_48h_down	3927
K975_24h_48h_down	3052
K975_24h_48h_down	9020
K975_24h_48h_down	51330
K975_24h_48h_down	54443
K975_24h_48h_down	10046
K975_24h_48h_down	55622
K975_24h_48h_down	23034
K975_24h_48h_down	9369
K975_24h_48h_down	6617
K975_24h_48h_down	5606
K975_24h_48h_down	54888
K975_24h_48h_down	7092
K975_24h_48h_down	1767
K975_24h_48h_down	51491
K975_24h_48h_down	51474
K975_24h_48h_down	51154
K975_24h_48h_down	51602
K975_24h_48h_down	55781
K975_24h_48h_down	55726
K975_24h_48h_down	3843
K975_24h_48h_down	9697
K975_24h_48h_down	5214
K975_24h_48h_down	11186
K975_24h_48h_down	10272
K975_24h_48h_down	23210
K975_24h_48h_down	6949
K975_24h_48h_down	56852
K975_24h_48h_down	29995
K975_24h_48h_down	9319
K975_24h_48h_down	27330
K975_24h_48h_down	5817
K975_24h_48h_down	54475
K975_24h_48h_down	2355
K975_24h_48h_down	88455
K975_24h_48h_down	4162
K975_24h_48h_down	79960
K975_24h_48h_down	1906
K975_24h_48h_down	9933
K975_24h_48h_down	5205
K975_24h_48h_down	27292
K975_24h_48h_down	3294
K975_24h_48h_down	2271
K975_24h_48h_down	55573
K975_24h_48h_down	22861
K975_24h_48h_down	151887
K975_24h_48h_down	7042
K975_24h_48h_down	3096
K975_24h_48h_down	4616
K975_24h_48h_down	9517
K975_24h_48h_down	9770
K975_24h_48h_down	10528
K975_24h_48h_down	10627
K975_24h_48h_down	4281
K975_24h_48h_down	6611
K975_24h_48h_down	688
K975_24h_48h_down	9057
K975_24h_48h_down	8140
K975_24h_48h_down	30844
K975_24h_48h_down	8669
K975_24h_48h_down	4232
K975_24h_48h_down	51422
K975_24h_48h_down	9124
K975_24h_48h_down	64115
K975_24h_48h_down	23560
K975_24h_48h_down	22943
K975_24h_48h_down	7019
K975_24h_48h_down	10105
K975_24h_48h_down	64750
K975_24h_48h_down	80273
K975_24h_48h_down	10938
K975_24h_48h_down	79080
K975_24h_48h_down	26973
K975_24h_48h_down	23603
K975_24h_48h_down	605
K975_24h_48h_down	3875
K975_24h_48h_down	83445
K975_24h_48h_down	51559
K975_24h_48h_down	55003
K975_24h_48h_down	4739
K975_24h_48h_down	705
K975_24h_48h_down	5201
K975_24h_48h_down	1839
K975_24h_48h_down	2246
K975_24h_48h_down	23286
K975_24h_48h_down	51421
K975_24h_48h_down	7474
K975_24h_48h_down	9136
K975_24h_48h_down	84128
K975_24h_48h_down	2744
K975_24h_48h_down	8869
K975_24h_48h_down	56902
K975_24h_48h_down	2034
K975_24h_48h_down	10056
K975_24h_48h_down	1718
K975_24h_48h_down	54206
K975_24h_48h_down	79084
K975_24h_48h_down	11240
K975_24h_48h_down	6675
K975_24h_48h_down	6513
K975_24h_48h_down	10969
K975_24h_48h_down	991
K975_24h_48h_down	10849
K975_24h_48h_down	1490
K975_24h_48h_down	84886
K975_24h_48h_down	8727
K975_24h_48h_down	1843
K975_24h_48h_down	10171
K975_24h_48h_down	29126
K975_24h_48h_down	84955
K975_24h_48h_down	2107
K975_24h_48h_down	157506
K975_24h_48h_down	3624
K975_24h_48h_down	10124
K975_24h_48h_down	5393
K975_24h_48h_down	4502
K975_24h_48h_down	2925
K975_24h_48h_down	10436
K975_24h_48h_down	55504
K975_24h_48h_down	2770
K975_24h_48h_down	5471
K975_24h_48h_down	11135
K975_24h_48h_down	3976
K975_24h_48h_down	51200
K975_24h_48h_down	2318
K975_24h_48h_down	60559
K975_24h_48h_down	84962
K975_24h_48h_down	6397
K975_24h_48h_down	10452
K975_24h_48h_down	1736
K975_24h_48h_down	25926
K975_24h_48h_down	93323
K975_24h_48h_down	6627
K975_24h_48h_down	85415
K975_24h_48h_down	23277
K975_24h_48h_down	10514
K975_24h_48h_down	4147
K975_24h_48h_down	90627
K975_24h_48h_down	9645
K975_24h_48h_down	22800
K975_24h_48h_down	1965
K975_24h_48h_down	4017
K975_24h_48h_down	9811
K975_24h_48h_down	1022
K975_24h_48h_down	4803
K975_24h_48h_down	2113
K975_24h_48h_down	8728
K975_24h_48h_down	9816
K975_24h_48h_down	4008
K975_24h_48h_down	9394
K975_24h_48h_down	4609
K975_24h_48h_down	64425
K975_24h_48h_down	8870
K975_24h_48h_down	7057
K975_24h_48h_down	8412
K975_24h_48h_down	1847
K975_24h_48h_down	2247
K975_24h_48h_down	8654
K975_24h_48h_down	55752
K975_24h_48h_down	57619
K975_24h_48h_down	306
K975_24h_48h_down	6541
K975_24h_48h_down	9123
K975_24h_48h_down	1969
K975_24h_48h_down	3491
K975_24h_48h_down	5792
K975_24h_48h_down	7371
K975_24h_48h_down	56956
