gs_id	gene_id
ADRN	116154
MES	51290
MES	55741
MES	111089941
ADRN	1789
ADRN	22974
MES	23348
MES	1795
MES	54498
MES	2280
MES	83959
ADRN	55857
ADRN	54997
MES	80024
MES	5829
ADRN	22895
MES	55614
ADRN	1114
ADRN	4842
MES	53827
ADRN	113540
ADRN	23415
ADRN	332
ADRN	393
MES	645
MES	6548
MES	3383
ADRN	7023
MES	55214
MES	2323
MES	2802
ADRN	24137
ADRN	10683
ADRN	4897
MES	54918
MES	3655
ADRN	11069
MES	23231
ADRN	51168
MES	22861
MES	83394
MES	79776
ADRN	285
ADRN	4345
MES	151887
ADRN	84502
MES	23428
ADRN	51310
ADRN	79968
MES	825
MES	8773
ADRN	1299
MES	4637
ADRN	63967
ADRN	1808
MES	7042
ADRN	8318
MES	1312
ADRN	9942
ADRN	23468
ADRN	4436
ADRN	4214
ADRN	1725
ADRN	54566
MES	5742
MES	1384
ADRN	10044
MES	55357
MES	25861
ADRN	10580
MES	3589
MES	3096
ADRN	2289
MES	3717
MES	51100
ADRN	8317
ADRN	6319
MES	79956
MES	8829
ADRN	56952
MES	54873
ADRN	55506
MES	9424
MES	80270
ADRN	1943
MES	51257
MES	610
MES	4616
ADRN	421
MES	4320
ADRN	27443
MES	9127
MES	83874
MES	23541
ADRN	29799
ADRN	5625
MES	29775
ADRN	157
ADRN	23544
MES	3956
MES	113791
MES	11078
ADRN	79019
ADRN	55964
MES	11015
ADRN	9567
MES	9609
MES	1727
ADRN	4744
ADRN	4174
MES	410
MES	706
MES	5155
ADRN	80832
MES	8542
MES	80339
MES	4627
MES	5372
ADRN	64781
MES	63874
ADRN	1690
ADRN	5427
MES	5836
MES	114088
ADRN	1033
MES	51382
MES	26499
MES	161394
MES	79890
MES	5641
ADRN	1113
MES	51804
ADRN	145508
MES	9766
ADRN	6547
MES	79038
MES	623
ADRN	7443
MES	89932
ADRN	9252
ADRN	60686
ADRN	57820
ADRN	10278
MES	394
ADRN	9985
MES	10548
MES	10484
MES	4776
MES	5360
MES	4318
MES	10544
ADRN	9837
ADRN	4605
MES	4773
ADRN	140730
MES	80336
MES	55816
ADRN	655
MES	7165
ADRN	11255
ADRN	28231
MES	4923
ADRN	128414
ADRN	1917
MES	57761
ADRN	343637
ADRN	128674
MES	9751
MES	10326
ADRN	140706
MES	23509
ADRN	57144
MES	182
ADRN	1869
MES	1471
ADRN	26051
ADRN	81610
MES	79953
MES	57136
ADRN	56853
MES	10627
ADRN	55125
MES	4092
MES	9388
MES	54941
ADRN	8715
ADRN	5932
ADRN	5422
MES	4281
MES	56180
MES	8406
MES	215
ADRN	6855
MES	5358
MES	5973
MES	2000
MES	140462
ADRN	10389
MES	7355
MES	84061
MES	5251
MES	83692
MES	8411
MES	7076
MES	56062
MES	27286
ADRN	158866
ADRN	2491
MES	51566
MES	80183
ADRN	2259
MES	3356
MES	688
MES	54
MES	5611
MES	55757
MES	1203
MES	8717
ADRN	3299
ADRN	11151
MES	10725
ADRN	869
MES	51090
ADRN	23090
ADRN	50855
ADRN	55565
MES	29070
MES	55238
MES	3038
ADRN	55512
MES	23659
MES	4350
MES	54550
MES	51172
MES	23406
MES	83716
MES	64788
MES	8140
MES	79006
MES	10273
MES	1428
MES	9780
ADRN	27324
MES	64131
ADRN	4150
MES	6810
MES	50615
ADRN	9738
ADRN	6530
MES	64799
MES	114294
MES	10391
ADRN	8120
MES	57722
MES	1512
MES	2184
MES	57214
ADRN	9455
MES	30844
MES	64397
ADRN	22995
ADRN	29106
MES	57617
ADRN	11339
ADRN	50804
MES	23678
MES	5157
MES	51201
ADRN	7976
MES	8767
ADRN	793
MES	79815
MES	3551
MES	5327
ADRN	56704
MES	6788
ADRN	54332
ADRN	11075
MES	7227
MES	6674
ADRN	83988
ADRN	4741
ADRN	4173
MES	427
MES	3783
MES	4924
ADRN	10382
MES	5971
MES	2217
MES	10848
ADRN	84444
ADRN	10535
ADRN	8175
ADRN	268
ADRN	79816
ADRN	4858
MES	9466
ADRN	55723
ADRN	7138
ADRN	93145
MES	85360
ADRN	2091
ADRN	56961
ADRN	79187
ADRN	23217
MES	6510
ADRN	333
MES	7040
MES	10226
ADRN	29997
ADRN	478
MES	2906
ADRN	3978
MES	8605
MES	57664
ADRN	59284
MES	1777
ADRN	22983
ADRN	3780
ADRN	5864
ADRN	5143
MES	1311
MES	6324
ADRN	80714
ADRN	2901
ADRN	7639
MES	23474
ADRN	199731
ADRN	154661
MES	79846
ADRN	1021
MES	7980
MES	5445
ADRN	3696
ADRN	6671
ADRN	1749
MES	401312
MES	256227
MES	1687
MES	858
MES	857
MES	4233
MES	79974
MES	11112
MES	8887
MES	2887
MES	55033
ADRN	84725
ADRN	6804
MES	2051
MES	3315
ADRN	4885
ADRN	7036
MES	5054
MES	56913
MES	8985
ADRN	6119
ADRN	113263
ADRN	9678
MES	54664
ADRN	2146
MES	4232
MES	57037
MES	196
MES	2737
MES	51422
MES	58498
MES	3984
ADRN	83856
MES	54981
MES	158471
ADRN	7464
MES	54829
MES	1842
MES	22949
ADRN	1759
MES	2022
ADRN	6019
MES	57589
ADRN	1993
ADRN	57582
MES	7306
MES	10488
MES	23586
MES	169792
ADRN	6456
MES	6461
MES	9124
ADRN	2625
MES	5264
MES	83937
MES	23268
MES	6387
MES	10613
MES	8029
ADRN	27143
MES	64115
MES	59
MES	3988
MES	57584
ADRN	22849
ADRN	79176
MES	64077
ADRN	9148
MES	10531
MES	1326
MES	22943
ADRN	253738
ADRN	9126
ADRN	27338
ADRN	57178
ADRN	56521
ADRN	10900
ADRN	51195
MES	5216
MES	9144
MES	3959
MES	6347
MES	4669
MES	3292
MES	1277
MES	10493
MES	8714
ADRN	4355
MES	64750
MES	1845
ADRN	3131
ADRN	23531
ADRN	5608
MES	54868
MES	7448
MES	7126
ADRN	27346
MES	5376
ADRN	8929
MES	6783
MES	26511
ADRN	10874
ADRN	57482
MES	4790
MES	4126
MES	8821
MES	7466
MES	51809
ADRN	55247
MES	55296
ADRN	7468
MES	683
MES	83891
ADRN	64151
ADRN	29118
MES	1410
MES	1075
ADRN	91057
ADRN	7007
ADRN	116804918
ADRN	27087
ADRN	5024
MES	4013
MES	54414
MES	23220
MES	10938
MES	81622
ADRN	9379
MES	79073
MES	2352
MES	50862
ADRN	5818
MES	10114
ADRN	6506
MES	5002
MES	2965
ADRN	84867
MES	5715
MES	10536
MES	8496
MES	6404
MES	23603
ADRN	1594
MES	3875
MES	23371
MES	2735
MES	57460
MES	2004
MES	81029
MES	59341
ADRN	2305
ADRN	57097
ADRN	10635
ADRN	23316
MES	10019
ADRN	80824
MES	83445
ADRN	4940
MES	420
MES	4256
MES	397
MES	7421
ADRN	5985
ADRN	23329
ADRN	8914
ADRN	84519
MES	56994
MES	79158
MES	84727
MES	105369632
ADRN	2026
ADRN	113246
MES	51026
ADRN	6489
MES	1303
MES	10384
MES	29940
ADRN	2651
ADRN	57150
ADRN	63914
MES	4739
MES	84830
ADRN	79632
MES	4121
MES	7164
MES	9750
MES	23328
MES	10090
ADRN	26271
ADRN	4988
ADRN	2178
ADRN	4172
ADRN	221692
MES	266727
ADRN	2740
ADRN	60468
MES	221662
MES	10486
MES	9532
MES	51715
ADRN	81491
ADRN	1297
ADRN	2822
MES	202
MES	55856
ADRN	135152
MES	2070
ADRN	55084
MES	10475
MES	64065
ADRN	117247
MES	57211
MES	9749
MES	7922
ADRN	135138
MES	4188
MES	5754
MES	56940
MES	124907782
MES	55754
