gs_id	gene_id
K975_48h_up	25789
K975_48h_up	10156
K975_48h_up	26959
K975_48h_up	5764
K975_48h_down	51678
K975_48h_down	6742
K975_48h_up	7586
K975_48h_up	5118
K975_48h_down	3614
K975_48h_down	4232
K975_48h_down	51422
K975_48h_up	1955
K975_48h_down	57589
K975_48h_up	1993
K975_48h_down	51010
K975_48h_down	9124
K975_48h_up	2625
K975_48h_up	26033
K975_48h_up	5264
K975_48h_up	219699
K975_48h_down	64115
K975_48h_down	23560
K975_48h_down	56647
K975_48h_up	9644
K975_48h_down	22943
K975_48h_down	10539
K975_48h_up	114815
K975_48h_down	7019
K975_48h_down	27338
K975_48h_down	10105
K975_48h_up	84961
K975_48h_up	10900
K975_48h_down	3837
K975_48h_down	4927
K975_48h_down	708
K975_48h_up	9267
K975_48h_down	5717
K975_48h_down	6347
K975_48h_down	55379
K975_48h_up	10014
K975_48h_down	64750
K975_48h_up	1949
K975_48h_up	23531
K975_48h_up	8929
K975_48h_down	6783
K975_48h_up	54959
K975_48h_up	57482
K975_48h_up	1363
K975_48h_down	80273
K975_48h_down	7468
K975_48h_up	57620
K975_48h_up	3083
K975_48h_down	64151
K975_48h_down	7358
K975_48h_down	3312
K975_48h_up	4013
K975_48h_up	3338
K975_48h_down	10938
K975_48h_down	79080
K975_48h_down	26973
K975_48h_up	57562
K975_48h_down	25758
K975_48h_up	84680
K975_48h_up	4192
K975_48h_up	5002
K975_48h_down	54733
K975_48h_up	7450
K975_48h_up	8496
K975_48h_down	23603
K975_48h_up	441631
K975_48h_down	10728
K975_48h_down	605
K975_48h_down	3875
K975_48h_down	55110
K975_48h_down	51184
K975_48h_up	54682
K975_48h_up	80724
K975_48h_up	217
K975_48h_down	83445
K975_48h_up	51147
K975_48h_down	83461
K975_48h_down	51559
K975_48h_up	10384
K975_48h_down	55003
K975_48h_down	4739
K975_48h_up	79632
K975_48h_down	51020
K975_48h_down	26271
K975_48h_down	6428
K975_48h_up	11149
K975_48h_up	51696
K975_48h_down	57211
K975_48h_down	705
K975_48h_down	6722
K975_48h_up	7422
K975_48h_up	56133
K975_48h_down	10112
K975_48h_down	5201
K975_48h_down	1839
K975_48h_up	10307
K975_48h_up	9421
K975_48h_up	56132
K975_48h_up	56130
K975_48h_up	56129
K975_48h_down	10622
K975_48h_up	57561
K975_48h_down	4883
K975_48h_down	6897
K975_48h_down	55299
K975_48h_down	9631
K975_48h_down	2246
K975_48h_down	23286
K975_48h_up	90249
K975_48h_down	51421
K975_48h_up	5947
K975_48h_up	55186
K975_48h_down	7474
K975_48h_up	868
K975_48h_down	7372
K975_48h_down	79669
K975_48h_up	80325
K975_48h_down	11222
K975_48h_down	9136
K975_48h_up	100526760
K975_48h_up	54800
K975_48h_down	6747
K975_48h_down	4691
K975_48h_up	90
K975_48h_down	5496
K975_48h_up	10297
K975_48h_down	84141
K975_48h_down	84128
K975_48h_down	2744
K975_48h_down	10575
K975_48h_down	8869
K975_48h_down	3336
K975_48h_up	84812
K975_48h_up	8576
K975_48h_down	79954
K975_48h_down	151393
K975_48h_down	6432
K975_48h_down	56902
K975_48h_down	2034
K975_48h_down	10056
K975_48h_down	1718
K975_48h_down	54206
K975_48h_down	79084
K975_48h_down	6723
K975_48h_down	4688
K975_48h_up	51440
K975_48h_down	11240
K975_48h_down	6390
K975_48h_up	4237
K975_48h_down	6675
K975_48h_down	117178
K975_48h_down	6513
K975_48h_down	10969
K975_48h_down	991
K975_48h_up	8643
K975_48h_up	8503
K975_48h_up	3664
K975_48h_up	163404
K975_48h_up	57134
K975_48h_up	5629
K975_48h_down	10849
K975_48h_up	1143
K975_48h_down	22868
K975_48h_up	79630
K975_48h_down	1490
K975_48h_down	103910
K975_48h_up	8987
K975_48h_down	22936
K975_48h_up	687
K975_48h_down	84886
K975_48h_up	440730
K975_48h_down	5887
K975_48h_down	8727
K975_48h_down	89891
K975_48h_down	26147
K975_48h_up	81932
K975_48h_up	64207
K975_48h_down	81892
K975_48h_up	1788
K975_48h_down	79627
K975_48h_up	4601
K975_48h_down	1843
K975_48h_up	4488
K975_48h_down	10171
K975_48h_down	29126
K975_48h_down	25902
K975_48h_up	56128
K975_48h_up	56126
K975_48h_up	56122
K975_48h_up	56124
K975_48h_down	8995
K975_48h_down	84955
K975_48h_up	84898
K975_48h_up	4093
K975_48h_down	2107
K975_48h_down	7045
K975_48h_up	1846
K975_48h_down	157506
K975_48h_up	59342
K975_48h_up	6909
K975_48h_down	23397
K975_48h_down	80218
K975_48h_down	81930
K975_48h_down	3624
K975_48h_down	10124
K975_48h_down	152007
K975_48h_down	8434
K975_48h_up	57670
K975_48h_up	8805
K975_48h_down	5328
K975_48h_down	11130
K975_48h_down	11113
K975_48h_down	1017
K975_48h_down	10376
K975_48h_down	6491
K975_48h_down	55355
K975_48h_down	262
K975_48h_down	29078
K975_48h_down	5393
K975_48h_up	10608
K975_48h_down	1164
K975_48h_down	164781
K975_48h_up	23363
K975_48h_down	1434
K975_48h_up	6615
K975_48h_up	5184
K975_48h_up	10396
K975_48h_up	64344
K975_48h_up	6659
K975_48h_down	7913
K975_48h_down	9521
K975_48h_down	4502
K975_48h_up	55715
K975_48h_up	23157
K975_48h_up	4987
K975_48h_up	79025
K975_48h_up	2892
K975_48h_down	6628
K975_48h_up	80818
K975_48h_down	8894
K975_48h_down	2925
K975_48h_up	23263
K975_48h_down	55795
K975_48h_up	7067
K975_48h_down	10436
K975_48h_down	9787
