"gene","PeakId","Annotation","Distance.to.TSS","log2FoldChange","padj","contrast"
"MAML2","Interval_88760","intron (ENSG00000184384, intron 1 of 4)",-119611,-0.043499773603473,0.848343593740227,"48h_vs_control"
"MAML2","Interval_88727","intron (ENSG00000184384, intron 1 of 4)",-21236,-0.0403249612953006,0.850119506505134,"48h_vs_control"
"MAML2","Interval_88702","intron (ENSG00000184384, intron 1 of 3)",-57027,-0.0363915596476831,0.851660714123547,"48h_vs_control"
"MAML2","Interval_88706","intron (ENSG00000184384, intron 1 of 3)",-39100,-0.0366627749781586,0.854748154881825,"48h_vs_control"
"MAML2","Interval_88758","intron (ENSG00000184384, intron 1 of 4)",-122143,0.024651482710687,0.859952912910626,"48h_vs_control"
"MAML2","Interval_88784","intron (ENSG00000184384, intron 1 of 4)",-23411,0.0428450084834696,0.872603793534205,"48h_vs_control"
"MAML2","Interval_88791","intron (ENSG00000184384, intron 1 of 4)",-1105,-0.0425321250601656,0.880757685851786,"48h_vs_control"
"MAML2","Interval_88692","intron (ENSG00000184384, intron 1 of 3)",49286,0.0464952875025576,0.880873376758484,"48h_vs_control"
"NOTCH1","Interval_491600","TTS (ENSG00000148400)",11022,0.0502956574369381,0.882610172375665,"48h_vs_control"
"NOTCH2","Interval_22373","intron (ENSG00000134250, intron 1 of 11)",-81872,0.0283618150889599,0.89465436697869,"48h_vs_control"
"MAML2","Interval_88728","intron (ENSG00000184384, intron 1 of 4)",-29195,-0.0251376881758153,0.899722546533746,"48h_vs_control"
"MAML2","Interval_88746","intron (ENSG00000184384, intron 1 of 4)",-75745,-0.0377613310263414,0.900602008237098,"48h_vs_control"
"MAML2","Interval_88762","intron (ENSG00000184384, intron 1 of 4)",-105632,0.0304475514955975,0.904154345142444,"48h_vs_control"
"NOTCH1","Interval_491618","promoter-TSS (ENSG00000265181)",-82,-0.0371975241340248,0.91793390997729,"48h_vs_control"
"MAML2","Interval_88711","intron (ENSG00000184384, intron 1 of 3)",-16725,0.033072212403707,0.919869577631914,"48h_vs_control"
"NOTCH2","Interval_22374","intron (ENSG00000134250, intron 1 of 11)",-85614,0.0304394232938802,0.921595758379132,"48h_vs_control"
"NOTCH2","Interval_22379","promoter-TSS (ENSG00000134250)",322,-0.0356826381489728,0.925903240197637,"48h_vs_control"
"MAML2","Interval_88759","intron (ENSG00000184384, intron 1 of 4)",-121011,0.0262248117620453,0.933934579544099,"48h_vs_control"
"NOTCH1","Interval_491620","TTS (ENSG00000237886)",1529,-0.0224596370206938,0.93587707834824,"48h_vs_control"
"MAML2","Interval_88716","intron (ENSG00000184384, intron 1 of 3)",-1164,-0.0303656239188384,0.93610337822762,"48h_vs_control"
"NOTCH2","Interval_22378","intron (ENSG00000134250, intron 1 of 13)",54407,0.0238254873570726,0.938233242985282,"48h_vs_control"
"MAML2","Interval_88792","TTS (ENSG00000266192)",396,0.0290287676190499,0.938785403504454,"48h_vs_control"
"NOTCH1","Interval_491603","intron (ENSG00000148400, intron 26 of 33)",15730,-0.0170919035829081,0.938840254055888,"48h_vs_control"
"MAML2","Interval_88787","intron (ENSG00000184384, intron 1 of 4)",-12164,-0.027336497910874,0.942592484913814,"48h_vs_control"
"MAML2","Interval_88757","intron (ENSG00000184384, intron 1 of 4)",-121997,-0.0265764167483086,0.942865072807698,"48h_vs_control"
"MAML2","Interval_88790","intron (ENSG00000184384, intron 1 of 4)",-2163,-0.0292333016036604,0.943264210962589,"48h_vs_control"
"MAML2","Interval_88793","promoter-TSS (ENSG00000184384)",1798,0.0257265039809181,0.946036799404987,"48h_vs_control"
