"chr","start","end","CM_24h_ATAC_S165170_REP1","CM_24h_ATAC_S165170_REP2","CM_48h_ATAC_S165167_REP1","CM_48h_ATAC_S165167_REP2","CM_control_ATAC_S165169_REP1","CM_control_ATAC_S165169_REP2","SH_24h_ATAC_S165164_REP1","SH_24h_ATAC_S165164_REP2","SH_48h_ATAC_S165165_REP1","SH_48h_ATAC_S165165_REP2","SH_control_ATAC_S165166_REP1","SH_control_ATAC_S165166_REP2"
1,8361497,8420686,0.12750753221365,0.1243602983724,0.151526593701291,0.148976864537721,0.117231062414613,0.103590271541748,0.227004990131597,0.206743475446784,0.242951297032184,0.203795323201187,0.2223915713428,0.18893140307973
1,8651947,8719251,0.165386802524591,0.159452690014618,0.170721101211382,0.193365124412703,0.18280428821153,0.188874196149188,0.196638334886468,0.210840286616161,0.2426522511991,0.237144498463323,0.223268990330741,0.223417165542233
1,15876747,15919451,0.163534337820498,0.175523781477966,0.1487013425921,0.146795045908559,0.132029164041894,0.149503647838597,0.152703033681509,0.150201108363951,0.146290521198976,0.160681999475319,0.133385405862939,0.142099683491401
1,22062647,22113501,0.0738876783903187,0.0780329044842204,0.0855799107465796,0.0720961112607067,0.0768893576572826,0.0768154880647254,0.164069636862669,0.138227029040917,0.14835951199123,0.136897550661929,0.14362445667086,0.13535979639315
1,24764497,24804201,0.0803873484912637,0.092181230846944,0.0869857571598683,0.0959859678955598,0.0988213949836938,0.110802315954853,0.119509891654738,0.105954562960042,0.101760106855562,0.110817791364316,0.0939802068004179,0.093485837227662
1,30961597,31055101,0.0878131782377325,0.11376511343508,0.0865817966144021,0.0887441715492787,0.0930402234177729,0.0927205171541304,0.142702560215961,0.124405108186773,0.135550701959243,0.118407363734879,0.114236702453063,0.131028783299861
1,36342397,36377001,0.247920673939116,0.265704420367439,0.247562541798854,0.237549540439854,0.254843586711713,0.300883618427992,0.342444478037513,0.415032684581549,0.443244431218339,0.370562002723321,0.445304160118262,0.398213865724555
1,39102947,39272851,0.154461437323231,0.166644650047658,0.142828163743812,0.168765004184819,0.160909080074997,0.153802047794753,0.223135217547809,0.217324139688375,0.232581373169393,0.225118263348129,0.220161220830817,0.212226739695469
1,39375747,39427701,0.192371105949859,0.213920717868328,0.187263377944673,0.188031532854149,0.206683895964067,0.228271975242542,0.339216918857616,0.311529957145413,0.291488002200206,0.274008897555128,0.287277151538195,0.308023022270227
1,42924547,42953701,0.139481572440412,0.172282000470605,0.132575327825342,0.107178354991517,0.250426426766324,0.239785326180169,0.24564469701958,0.239914134370104,0.199396298085189,0.248323458336381,0.267667705941496,0.311669570814854
1,51619871,51673751,0.163557027503301,0.189584976327093,0.15790793706543,0.151172925145639,0.189896303152075,0.158219291965642,0.191252801672457,0.176989616215194,0.212425330177803,0.191785459280001,0.205830298376347,0.226342353824063
1,66517297,66635601,0.13788202144394,0.126185862323949,0.133913779509526,0.130852061089564,0.123074167337351,0.129959704837396,0.174024965627501,0.162228877425983,0.144155079236076,0.1467121624111,0.148551706410367,0.141658730298966
1,76022997,76110101,0.142303812121319,0.149447492134601,0.159630384839348,0.140772747423474,0.167543024875702,0.163232272872501,0.196272906269759,0.187829111210872,0.207461942656396,0.191357436415388,0.187435440430724,0.167601989496343
1,85313097,85385301,0.125314280101267,0.139523754838928,0.125210374484887,0.129390843542477,0.143969821852236,0.126864701571536,0.178979677742528,0.186878743082328,0.162836313472083,0.138153527951469,0.190694072574994,0.169158188178056
1,85427447,85462205,0.108135127016834,0.071708594540846,0.0850684713552409,0.1066112144091,0.104822688737031,0.076534168064427,0.154341919850543,0.179693722556523,0.169259777488162,0.219070923668084,0.145172765978359,0.148641074629306
1,85548747,85585701,0.263089368383274,0.250881872320161,0.268387371833594,0.260172825652856,0.25466552311298,0.269438203414218,0.619721725861477,0.625466248858569,0.501977403154597,0.553407546061004,0.694954158439008,0.55215890682518
1,93606097,93645601,0.133619770357381,0.125892546669622,0.137746573439892,0.131875185244903,0.119584075375291,0.14660643416278,0.23457852498546,0.256102286510194,0.224232938993945,0.286520005550045,0.220845127459918,0.246947856005722
