"condition","median_accessibility","mean_accessibility","total_regions"
"CLB_Ma_24h",0.27048971381375,0.311870502571898,286
"CLB_Ma_48h",0.20045206771425,0.22770605138201,286
"CLB_Ma_control",0.24473862502125,0.275793714133782,286
"SK_N_SH_24h",0.21600802479475,0.239347846518076,286
"SK_N_SH_48h",0.207377712917,0.237234889185019,286
"SK_N_SH_control",0.221459539496,0.252223684215049,286
