"chr","start","end","CM_24h_ATAC_S165170_REP1","CM_24h_ATAC_S165170_REP2","CM_48h_ATAC_S165167_REP1","CM_48h_ATAC_S165167_REP2","CM_control_ATAC_S165169_REP1","CM_control_ATAC_S165169_REP2","SH_24h_ATAC_S165164_REP1","SH_24h_ATAC_S165164_REP2","SH_48h_ATAC_S165165_REP1","SH_48h_ATAC_S165165_REP2","SH_control_ATAC_S165166_REP1","SH_control_ATAC_S165166_REP2"
1,8361497,8420686,0.1493622087355,0.144731729238917,0.170459349414167,0.169035694872167,0.1346588094975,0.1234196563725,0.239815085048,0.216344807734333,0.25822709379225,0.21614040977775,0.233212550984083,0.208867365189417
1,8651947,8719251,0.179610230044083,0.176454759683333,0.186004192668083,0.202345046243083,0.193161270524667,0.196886683961,0.209760515448833,0.220632046761583,0.25803663023325,0.245614118064,0.236593935475167,0.233212550984083
1,15876747,15919451,0.177539175284333,0.189695007253083,0.169035694872167,0.16810436123025,0.14974548200275,0.17009119219725,0.16810436123025,0.161499152646417,0.16473984633775,0.180753853568167,0.147520784214833,0.16554017749325
1,22062647,22113501,0.10371832152545,0.107403197189183,0.107403197189183,0.10371832152545,0.10371832152545,0.107403197189183,0.179957954384,0.148480161383067,0.16810436123025,0.158557589362333,0.163147257634333,0.156615127353833
1,24764497,24804201,0.107403197189183,0.108940887661725,0.108940887661725,0.108940887661725,0.113379259001,0.134768413390942,0.11486570905505,0.107403197189183,0.113379259001,0.1234196563725,0.1075607550825,0.107403197189183
1,30961597,31055101,0.1075607550825,0.129879498475667,0.1075607550825,0.107403197189183,0.1075607550825,0.113379259001,0.1493622087355,0.1234196563725,0.157187881157,0.136607811421,0.129879498475667,0.148480161383067
1,36342397,36377001,0.262887632783417,0.273661101910333,0.262606281401,0.24751584147125,0.262887632783417,0.29993262992825,0.36499107091875,0.439062113241,0.44308495935775,0.36722787237225,0.44308495935775,0.4081169414265
1,39102947,39272851,0.16894140988375,0.1814191880975,0.164050917252833,0.184113075263333,0.174388402071583,0.1731771938975,0.233212550984083,0.225179314680583,0.242458800433917,0.235964782202,0.230999899360333,0.224151162986417
1,39375747,39427701,0.202345046243083,0.224151162986417,0.197881926362,0.197201706441083,0.211367454591417,0.235964782202,0.357145452288417,0.341978033454083,0.301421364403083,0.273661101910333,0.297999315567167,0.336063537612417
1,42924547,42953701,0.158266158386833,0.185325637113833,0.14974548200275,0.1234196563725,0.256730366674,0.24751584147125,0.2657291243225,0.25822709379225,0.21239478145275,0.25803663023325,0.280419957560083,0.336109939804583
1,51619871,51673751,0.179163019796417,0.199890422527667,0.174388402071583,0.169075176142,0.196886683961,0.17528229080775,0.202918529281333,0.193161270524667,0.224151162986417,0.20764603988325,0.21614040977775,0.239815085048
1,66517297,66635601,0.157187881157,0.148278151519583,0.152920586702667,0.1493622087355,0.142421614422583,0.150944695911167,0.189269032081417,0.17288003804025,0.163698766376833,0.16894140988375,0.169035694872167,0.16473984633775
1,76022997,76110101,0.159733122036,0.165726851620417,0.177539175284333,0.159733122036,0.180753853568167,0.176755955782833,0.208867365189417,0.19891633006275,0.21825374955925,0.2041354196995,0.20096062892325,0.189695007253083
1,85313097,85385301,0.1480626872765,0.158281299878583,0.147520784214833,0.148480161383067,0.159733122036,0.148480161383067,0.194536485400083,0.197881926362,0.184113075263333,0.161499152646417,0.2041354196995,0.1924481342655
1,85427447,85462205,0.125660762539083,0.10371832152545,0.10371832152545,0.115743070711867,0.114482775574892,0.10371832152545,0.169573902466083,0.194364871075417,0.190354869968667,0.225099768050417,0.163698766376833,0.171790142081
1,85548747,85585701,0.27291891994075,0.263415817122167,0.283187703675917,0.27421574826225,0.262606281401,0.269788676052417,0.70911292817125,0.70911292817125,0.497748014881667,0.519605604470417,0.63934470755375,0.519605604470417
1,93606097,93645601,0.154119987137167,0.1480626872765,0.157187881157,0.14974548200275,0.136607811421,0.16810436123025,0.247756055618417,0.266207438968,0.236593935475167,0.293990310727917,0.2330956448135,0.262887632783417
1,115298747,115335151,0.202918529281333,0.174388402071583,0.230999899360333,0.233212550984083,0.19268128949625,0.216344807734333,0.174388402071583,0.171694362707292,0.189269032081417,0.19370837443675,0.182065822140383,0.177539175284333
1,156086247,156141351,0.519605604470417,0.519605604470417,0.519605604470417,0.526945360690333,0.54574981273075,0.434971958217333,0.705234875095333,0.63934470755375,0.69528686915775,0.69528686915775,0.653157357095917,0.69528686915775
1,157996270,158050551,0.247838101637,0.274378589149417,0.265754475662333,0.274999553506833,0.268626083740333,0.2459494728755,0.336063537612417,0.343058076145833,0.308079784257917,0.2893063817715,0.269788676052417,0.292805043570583
1,162653747,162723901,0.16810436123025,0.183181134474833,0.165726851620417,0.173980170387917,0.169075176142,0.1480626872765,0.196669705384333,0.193929935530333,0.185141668548583,0.196669705384333,0.194536485400083,0.200995241019417
1,163033097,163057701,0.344185762569833,0.2717068006115,0.302937005853083,0.33473177145825,0.3042740383385,0.2881502585395,0.451621467822667,0.471070667121833,0.4295296159255,0.451621467822667,0.374565480739333,0.357145452288417
1,181092697,181117901,0.44308495935775,0.473883417316833,0.374875918152833,0.383819395380583,0.437868045256667,0.374875918152833,0.54574981273075,0.54574981273075,0.451621467822667,0.473883417316833,0.471070667121833,0.434971958217333
1,183026457,183071551,0.20380052083525,0.284959806612917,0.268626083740333,0.284959806612917,0.230353172473083,0.247510488262167,0.268626083740333,0.170459349414167,0.18393202062775,0.266207438968,0.245614118064,0.27291891994075
1,198254597,198295951,0.1234196563725,0.1234196563725,0.136607811421,0.1480626872765,0.115743070711867,0.115743070711867,0.158557589362333,0.185141668548583,0.1234196563725,0.14974548200275,0.142421614422583,0.16894140988375
1,203506147,203560001,0.2330956448135,0.26192457663225,0.247838101637,0.269788676052417,0.216895594565583,0.240350595201833,0.273661101910333,0.211367454591417,0.293990310727917,0.285878431254333,0.322012138346,0.32868183113625
1,203663097,203697401,0.185325637113833,0.16810436123025,0.185141668548583,0.180753853568167,0.202918529281333,0.186004192668083,0.221309555912,0.203038194315333,0.268296678759917,0.26735085785475,0.21683007561375,0.25822709379225
1,204408247,204440051,0.4295296159255,0.394950843514833,0.4295296159255,0.350786982096167,0.39712066470425,0.357145452288417,0.383819395380583,0.343984083084167,0.343058076145833,0.374565480739333,0.394950843514833,0.374565480739333
1,218449847,218501301,0.22387147724525,0.2459494728755,0.2717068006115,0.195350085596833,0.269788676052417,0.289051391787167,0.150944695911167,0.192460567929833,0.193920564217417,0.165726851620417,0.196669705384333,0.197675301384167
1,223704647,223734151,0.374875918152833,0.374100744561583,0.374100744561583,0.39712066470425,0.381286489866583,0.381286489866583,0.5141160601785,0.487680403046833,0.487680403046833,0.439062113241,0.497748014881667,0.471070667121833
1,223747397,223789651,0.148480161383067,0.158266158386833,0.144731729238917,0.140833263957367,0.154119987137167,0.171790142081,0.199890422527667,0.202037360456667,0.2041354196995,0.1814191880975,0.1924481342655,0.194915753000417
1,234956997,235001201,0.29000488930075,0.306865778046417,0.301421364403083,0.333013584549583,0.34771642171,0.293990310727917,0.262606281401,0.2881502585395,0.34011401769675,0.268626083740333,0.284959806612917,0.269788676052417
1,243246597,243291601,0.394950843514833,0.4295296159255,0.39712066470425,0.374100744561583,0.374565480739333,0.39712066470425,0.437868045256667,0.32868183113625,0.439062113241,0.39712066470425,0.40501347416425,0.28644748972375
10,3071624,3114001,0.239815085048,0.21683007561375,0.241620590481,0.239815085048,0.21614040977775,0.230999899360333,0.28644748972375,0.322012138346,0.225641602678667,0.27421574826225,0.241496553937333,0.223050084461125
10,4765947,4781801,0.306865778046417,0.29000488930075,0.256730366674,0.247510488262167,0.235964782202,0.19891633006275,0.194872381923667,0.228354609897833,0.241496553937333,0.241496553937333,0.209760515448833,0.214280759619583
10,17198947,17218401,0.280759859399,0.2881502585395,0.249533739711417,0.260430368571333,0.297999315567167,0.29000488930075,0.29993262992825,0.344185762569833,0.280419957560083,0.336063537612417,0.344185762569833,0.34771642171
