"SampleID","Tissue","Factor","Condition","Treatment","Replicate","bamReads","ControlID","bamControl","Peaks","PeakCaller","PeakSummits","Peaks_count"
"CLB-Ma-ADR-YAP_R1","CLB-Ma","YAP","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-YAP_R1.target.markdup.sorted.bam","CLB-Ma-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-YAP_R1.macs2_summits.bed",2170
"CLB-Ma-ADR-YAP_R2","CLB-Ma","YAP","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-YAP_R2.target.markdup.sorted.bam","CLB-Ma-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-YAP_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-ADR-YAP_R2.macs2_summits.bed",2812
"CLB-Ma-M_H3K27ac_R1","CLB-Ma","H3K27ac","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_H3K27ac_R1.target.markdup.sorted.bam","CLB-Ma-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K27ac_R1.macs2_summits.bed",37400
"CLB-Ma-M_H3K27ac_R2","CLB-Ma","H3K27ac","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_H3K27ac_R2.target.markdup.sorted.bam","CLB-Ma-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K27ac_R2.macs2_summits.bed",35877
"CLB-Ma-M_H3K4me1_R1","CLB-Ma","H3K4me1","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_H3K4me1_R1.target.markdup.sorted.bam","CLB-Ma-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K4me1_R1.macs2_summits.bed",62218
"CLB-Ma-M_H3K4me1_R2","CLB-Ma","H3K4me1","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_H3K4me1_R2.target.markdup.sorted.bam","CLB-Ma-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_H3K4me1_R2.macs2_summits.bed",79694
"CLB-Ma-M_Jun_R1","CLB-Ma","Jun","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_Jun_R1.target.markdup.sorted.bam","CLB-Ma-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_Jun_R1.macs2_summits.bed",43706
"CLB-Ma-M_Jun_R2","CLB-Ma","Jun","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_Jun_R2.target.markdup.sorted.bam","CLB-Ma-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_Jun_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_Jun_R2.macs2_summits.bed",45812
"CLB-Ma-M_TAZ_R1","CLB-Ma","TAZ","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_TAZ_R1.target.markdup.sorted.bam","CLB-Ma-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_TAZ_R1.macs2_summits.bed",12956
"CLB-Ma-M_TAZ_R2","CLB-Ma","TAZ","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_TAZ_R2.target.markdup.sorted.bam","CLB-Ma-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-Ma-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_TAZ_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-Ma-M_TAZ_R2.macs2_summits.bed",27507
