"SampleID","Tissue","Factor","Condition","Treatment","Replicate","bamReads","ControlID","bamControl","Peaks","PeakCaller","PeakSummits","Peaks_count"
"CLB-MA-MES-YAP_R1","CLB-Ma","YAP","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-YAP_R1.target.markdup.sorted.bam","CLB-MA-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-YAP_R1.macs2_summits.bed",31134
"CLB-MA-MES-YAP_R2","CLB-Ma","YAP","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-YAP_R2.target.markdup.sorted.bam","CLB-MA-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/CLB-MA-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-YAP_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/CLB-MA-MES-YAP_R2.macs2_summits.bed",34798
"SK-N-SH-A_H3K27ac_R1","SK-N-SH","H3K27ac","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_H3K27ac_R1.target.markdup.sorted.bam","SK-N-SH-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K27ac_R1.macs2_summits.bed",12964
"SK-N-SH-A_H3K27ac_R2","SK-N-SH","H3K27ac","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_H3K27ac_R2.target.markdup.sorted.bam","SK-N-SH-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K27ac_R2.macs2_summits.bed",13603
"SK-N-SH-A_H3K4me1_R1","SK-N-SH","H3K4me1","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_H3K4me1_R1.target.markdup.sorted.bam","SK-N-SH-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K4me1_R1.macs2_summits.bed",60462
"SK-N-SH-A_H3K4me1_R2","SK-N-SH","H3K4me1","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_H3K4me1_R2.target.markdup.sorted.bam","SK-N-SH-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_H3K4me1_R2.macs2_summits.bed",51281
"SK-N-SH-A_Jun_R1","SK-N-SH","Jun","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_Jun_R1.target.markdup.sorted.bam","SK-N-SH-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_Jun_R1.macs2_summits.bed",38
"SK-N-SH-A_Jun_R2","SK-N-SH","Jun","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_Jun_R2.target.markdup.sorted.bam","SK-N-SH-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_Jun_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_Jun_R2.macs2_summits.bed",70
"SK-N-SH-A_TAZ_R1","SK-N-SH","TAZ","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_TAZ_R1.target.markdup.sorted.bam","SK-N-SH-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_TAZ_R1.macs2_summits.bed",184
"SK-N-SH-A_TAZ_R2","SK-N-SH","TAZ","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_TAZ_R2.target.markdup.sorted.bam","SK-N-SH-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_TAZ_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_TAZ_R2.macs2_summits.bed",200
"SK-N-SH-A_YAP_R1","SK-N-SH","YAP","ADRN","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_YAP_R1.target.markdup.sorted.bam","SK-N-SH-A_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_YAP_R1.macs2_summits.bed",1
"SK-N-SH-A_YAP_R2","SK-N-SH","YAP","ADRN","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_YAP_R2.target.markdup.sorted.bam","SK-N-SH-A_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-A_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_YAP_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-A_YAP_R2.macs2_summits.bed",35
"SK-N-SH-ADR-H3K27ac_R1","SK-N-SH","H3K27ac","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-H3K27ac_R1.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K27ac_R1.macs2_summits.bed",15609
"SK-N-SH-ADR-H3K27ac_R2","SK-N-SH","H3K27ac","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-H3K27ac_R2.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K27ac_R2.macs2_summits.bed",22788
"SK-N-SH-ADR-H3K4me1_R1","SK-N-SH","H3K4me1","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-H3K4me1_R1.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K4me1_R1.macs2_summits.bed",53701
"SK-N-SH-ADR-H3K4me1_R2","SK-N-SH","H3K4me1","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-H3K4me1_R2.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-H3K4me1_R2.macs2_summits.bed",66242
"SK-N-SH-ADR-Jun_R1","SK-N-SH","Jun","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-Jun_R1.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-Jun_R1.macs2_summits.bed",11671
"SK-N-SH-ADR-Jun_R2","SK-N-SH","Jun","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-Jun_R2.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-Jun_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-Jun_R2.macs2_summits.bed",11619
"SK-N-SH-ADR-TAZ_R1","SK-N-SH","TAZ","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-TAZ_R1.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-TAZ_R1.macs2_summits.bed",2741
"SK-N-SH-ADR-TAZ_R2","SK-N-SH","TAZ","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-TAZ_R2.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-TAZ_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-TAZ_R2.macs2_summits.bed",985
"SK-N-SH-ADR-YAP_R1","SK-N-SH","YAP","ADRN","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-YAP_R1.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-YAP_R1.macs2_summits.bed",80600
"SK-N-SH-ADR-YAP_R2","SK-N-SH","YAP","ADRN","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-YAP_R2.target.markdup.sorted.bam","SK-N-SH-ADR-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-ADR-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-YAP_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-ADR-YAP_R2.macs2_summits.bed",5174
"SK-N-SH-M_H3K27ac_R1","SK-N-SH","H3K27ac","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_H3K27ac_R1.target.markdup.sorted.bam","SK-N-SH-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K27ac_R1.macs2_summits.bed",39062
"SK-N-SH-M_H3K4me1_R1","SK-N-SH","H3K4me1","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_H3K4me1_R1.target.markdup.sorted.bam","SK-N-SH-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K4me1_R1.macs2_summits.bed",53209
"SK-N-SH-M_H3K4me1_R2","SK-N-SH","H3K4me1","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_H3K4me1_R2.target.markdup.sorted.bam","SK-N-SH-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K4me1_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_H3K4me1_R2.macs2_summits.bed",98583
"SK-N-SH-M_Jun_R1","SK-N-SH","Jun","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_Jun_R1.target.markdup.sorted.bam","SK-N-SH-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_Jun_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_Jun_R1.macs2_summits.bed",17886
"SK-N-SH-M_TAZ_R1","SK-N-SH","TAZ","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_TAZ_R1.target.markdup.sorted.bam","SK-N-SH-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_TAZ_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_TAZ_R1.macs2_summits.bed",19224
"SK-N-SH-M_TAZ_R2","SK-N-SH","TAZ","MES","batch1",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_TAZ_R2.target.markdup.sorted.bam","SK-N-SH-M_IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_TAZ_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_TAZ_R2.macs2_summits.bed",12555
"SK-N-SH-M_YAP_R1","SK-N-SH","YAP","MES","batch1",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_YAP_R1.target.markdup.sorted.bam","SK-N-SH-M_IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-M_IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_YAP_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-M_YAP_R1.macs2_summits.bed",667
"SK-N-SH-MES-H3K27ac_R1","SK-N-SH","H3K27ac","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-H3K27ac_R1.target.markdup.sorted.bam","SK-N-SH-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K27ac_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K27ac_R1.macs2_summits.bed",42841
"SK-N-SH-MES-H3K27ac_R2","SK-N-SH","H3K27ac","MES","batch2",2,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-H3K27ac_R2.target.markdup.sorted.bam","SK-N-SH-MES-IgG_R2","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-IgG_R2.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K27ac_R2.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K27ac_R2.macs2_summits.bed",56993
"SK-N-SH-MES-H3K4me1_R1","SK-N-SH","H3K4me1","MES","batch2",1,"/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-H3K4me1_R1.target.markdup.sorted.bam","SK-N-SH-MES-IgG_R1","/nobackup/lab_ccri_bicu/internal/abykov/projects/ab6_soeren_neuroblastoma/adaptation_for_cemm/raw_data/CnR/outdir/02_alignment/bowtie2/target/markdup/SK-N-SH-MES-IgG_R1.target.markdup.sorted.bam","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K4me1_R1.macs2_peaks.narrowPeak","narrow","/home/abykov/neuroblastoma/data/CnR/consensus_peaks/SK-N-SH-MES-H3K4me1_R1.macs2_summits.bed",72943
